/* For Testing */ 
#L_UNITS ang 
#E_UNITS eV 
#S_UNITS GPA 
#F_UNITS EV/ANG 
#ALAT 	   16.16    // a0 
#X 	   1.00000     0.00000     0.00000     // X 
#Y 	   0.00000     1.00000     0.00000     // Y 
#Z 	   0.00000     0.00000     1.00000     // Z 
#EPA 	  -3.36     // Energy per Atom 
#C     1 1 1
#RCUT 	7.4      // Rcut 
#CALCTYPE efs
Al	0.025	0	0
Al	0.125	0.125	0
Al	0.125	0	0.125
Al	0	0.125	0.125
Al	0	0	0.25
Al	0.125	0.125	0.25
Al	0.125	0	0.375
Al	0	0.125	0.375
Al	0	0	0.5
Al	0.125	0.125	0.5
Al	0.125	0	0.625
Al	0	0.125	0.625
Al	0	0	0.75
Al	0.125	0.125	0.75
Al	0.125	0	0.875
Al	0	0.125	0.875
Al	0	0.25	0
Al	0.125	0.375	0
Al	0.125	0.25	0.125
Al	0	0.375	0.125
Al	0	0.25	0.25
Al	0.125	0.375	0.25
Al	0.125	0.25	0.375
Al	0	0.375	0.375
Al	0	0.25	0.5
Al	0.125	0.375	0.5
Al	0.125	0.25	0.625
Al	0	0.375	0.625
Al	0	0.25	0.75
Al	0.125	0.375	0.75
Al	0.125	0.25	0.875
Al	0	0.375	0.875
Al	0	0.5	0
Al	0.125	0.625	0
Al	0.125	0.5	0.125
Al	0	0.625	0.125
Al	0	0.5	0.25
Al	0.125	0.625	0.25
Al	0.125	0.5	0.375
Al	0	0.625	0.375
Al	0	0.5	0.5
Al	0.125	0.625	0.5
Al	0.125	0.5	0.625
Al	0	0.625	0.625
Al	0	0.5	0.75
Al	0.125	0.625	0.75
Al	0.125	0.5	0.875
Al	0	0.625	0.875
Al	0	0.75	0
Al	0.125	0.875	0
Al	0.125	0.75	0.125
Al	0	0.875	0.125
Al	0	0.75	0.25
Al	0.125	0.875	0.25
Al	0.125	0.75	0.375
Al	0	0.875	0.375
Al	0	0.75	0.5
Al	0.125	0.875	0.5
Al	0.125	0.75	0.625
Al	0	0.875	0.625
Al	0	0.75	0.75
Al	0.125	0.875	0.75
Al	0.125	0.75	0.875
Al	0	0.875	0.875
Al	0.25	0	0
Al	0.375	0.125	0
Al	0.375	0	0.125
Al	0.25	0.125	0.125
Al	0.25	0	0.25
Al	0.375	0.125	0.25
Al	0.375	0	0.375
Al	0.25	0.125	0.375
Al	0.25	0	0.5
Al	0.375	0.125	0.5
Al	0.375	0	0.625
Al	0.25	0.125	0.625
Al	0.25	0	0.75
Al	0.375	0.125	0.75
Al	0.375	0	0.875
Al	0.25	0.125	0.875
Al	0.25	0.25	0
Al	0.375	0.375	0
Al	0.375	0.25	0.125
Al	0.25	0.375	0.125
Al	0.25	0.25	0.25
Al	0.375	0.375	0.25
Al	0.375	0.25	0.375
Al	0.25	0.375	0.375
Al	0.25	0.25	0.5
Al	0.375	0.375	0.5
Al	0.375	0.25	0.625
Al	0.25	0.375	0.625
Al	0.25	0.25	0.75
Al	0.375	0.375	0.75
Al	0.375	0.25	0.875
Al	0.25	0.375	0.875
Al	0.25	0.5	0
Al	0.375	0.625	0
Al	0.375	0.5	0.125
Al	0.25	0.625	0.125
Al	0.25	0.5	0.25
Al	0.375	0.625	0.25
Al	0.375	0.5	0.375
Al	0.25	0.625	0.375
Al	0.25	0.5	0.5
Al	0.375	0.625	0.5
Al	0.375	0.5	0.625
Al	0.25	0.625	0.625
Al	0.25	0.5	0.75
Al	0.375	0.625	0.75
Al	0.375	0.5	0.875
Al	0.25	0.625	0.875
Al	0.25	0.75	0
Al	0.375	0.875	0
Al	0.375	0.75	0.125
Al	0.25	0.875	0.125
Al	0.25	0.75	0.25
Al	0.375	0.875	0.25
Al	0.375	0.75	0.375
Al	0.25	0.875	0.375
Al	0.25	0.75	0.5
Al	0.375	0.875	0.5
Al	0.375	0.75	0.625
Al	0.25	0.875	0.625
Al	0.25	0.75	0.75
Al	0.375	0.875	0.75
Al	0.375	0.75	0.875
Al	0.25	0.875	0.875
Al	0.5	0	0
Al	0.625	0.125	0
Al	0.625	0	0.125
Al	0.5	0.125	0.125
Al	0.5	0	0.25
Al	0.625	0.125	0.25
Al	0.625	0	0.375
Al	0.5	0.125	0.375
Al	0.5	0	0.5
Al	0.625	0.125	0.5
Al	0.625	0	0.625
Al	0.5	0.125	0.625
Al	0.5	0	0.75
Al	0.625	0.125	0.75
Al	0.625	0	0.875
Al	0.5	0.125	0.875
Al	0.5	0.25	0
Al	0.625	0.375	0
Al	0.625	0.25	0.125
Al	0.5	0.375	0.125
Al	0.5	0.25	0.25
Al	0.625	0.375	0.25
Al	0.625	0.25	0.375
Al	0.5	0.375	0.375
Al	0.5	0.25	0.5
Al	0.625	0.375	0.5
Al	0.625	0.25	0.625
Al	0.5	0.375	0.625
Al	0.5	0.25	0.75
Al	0.625	0.375	0.75
Al	0.625	0.25	0.875
Al	0.5	0.375	0.875
Al	0.5	0.5	0
Al	0.625	0.625	0
Al	0.625	0.5	0.125
Al	0.5	0.625	0.125
Al	0.5	0.5	0.25
Al	0.625	0.625	0.25
Al	0.625	0.5	0.375
Al	0.5	0.625	0.375
Al	0.5	0.5	0.5
Al	0.625	0.625	0.5
Al	0.625	0.5	0.625
Al	0.5	0.625	0.625
Al	0.5	0.5	0.75
Al	0.625	0.625	0.75
Al	0.625	0.5	0.875
Al	0.5	0.625	0.875
Al	0.5	0.75	0
Al	0.625	0.875	0
Al	0.625	0.75	0.125
Al	0.5	0.875	0.125
Al	0.5	0.75	0.25
Al	0.625	0.875	0.25
Al	0.625	0.75	0.375
Al	0.5	0.875	0.375
Al	0.5	0.75	0.5
Al	0.625	0.875	0.5
Al	0.625	0.75	0.625
Al	0.5	0.875	0.625
Al	0.5	0.75	0.75
Al	0.625	0.875	0.75
Al	0.625	0.75	0.875
Al	0.5	0.875	0.875
Al	0.75	0	0
Al	0.875	0.125	0
Al	0.875	0	0.125
Al	0.75	0.125	0.125
Al	0.75	0	0.25
Al	0.875	0.125	0.25
Al	0.875	0	0.375
Al	0.75	0.125	0.375
Al	0.75	0	0.5
Al	0.875	0.125	0.5
Al	0.875	0	0.625
Al	0.75	0.125	0.625
Al	0.75	0	0.75
Al	0.875	0.125	0.75
Al	0.875	0	0.875
Al	0.75	0.125	0.875
Al	0.75	0.25	0
Al	0.875	0.375	0
Al	0.875	0.25	0.125
Al	0.75	0.375	0.125
Al	0.75	0.25	0.25
Al	0.875	0.375	0.25
Al	0.875	0.25	0.375
Al	0.75	0.375	0.375
Al	0.75	0.25	0.5
Al	0.875	0.375	0.5
Al	0.875	0.25	0.625
Al	0.75	0.375	0.625
Al	0.75	0.25	0.75
Al	0.875	0.375	0.75
Al	0.875	0.25	0.875
Al	0.75	0.375	0.875
Al	0.75	0.5	0
Al	0.875	0.625	0
Al	0.875	0.5	0.125
Al	0.75	0.625	0.125
Al	0.75	0.5	0.25
Al	0.875	0.625	0.25
Al	0.875	0.5	0.375
Al	0.75	0.625	0.375
Al	0.75	0.5	0.5
Al	0.875	0.625	0.5
Al	0.875	0.5	0.625
Al	0.75	0.625	0.625
Al	0.75	0.5	0.75
Al	0.875	0.625	0.75
Al	0.875	0.5	0.875
Al	0.75	0.625	0.875
Al	0.75	0.75	0
Al	0.875	0.875	0
Al	0.875	0.75	0.125
Al	0.75	0.875	0.125
Al	0.75	0.75	0.25
Al	0.875	0.875	0.25
Al	0.875	0.75	0.375
Al	0.75	0.875	0.375
Al	0.75	0.75	0.5
Al	0.875	0.875	0.5
Al	0.875	0.75	0.625
Al	0.75	0.875	0.625
Al	0.75	0.75	0.75
Al	0.875	0.875	0.75
Al	0.875	0.75	0.875
Al	0.75	0.875	0.875

